metric,formula,sign_convention,provenance,content_hash
closed_adr,sum of weekly closed_week_adr for the rule; equals Gate 78 closed_total_adr,"positive is profit, negative is loss",Gate 78 adapter summary and weekly equity truth,7219E935B40664700F006F2FB05D6A298A9372CA9B2B52FCF16C38613A67E759
equity_adr,"final cumulative mark-to-market equity snapshot, closed PnL plus ending open unrealized PnL","positive is profit, negative is loss",Gate 78 weekly equity truth,704071AC9B8F9C3DA3D37AFE5E04B4AE34C37C67F38494422DF019DAEA0EED61
weekly_mtm_equity_change,weekly equity_delta_adr,positive is profitable weekly MTM change,Gate 78 weekly equity truth,99F1F2B96737EF3F34016496555EF614E0990BA24BED59DA657036CD072433E8
max_drawdown,minimum cumulative MTM equity snapshot minus prior peak,reported as a negative ADR value,Gate 78 adapter summary and Gate 78A weekly recomputation,5DD8BA82DC5864C27D4BB1438C52871947997C6A8F83C552A5077552A17F3909
return_drawdown,final equity ADR / absolute max drawdown ADR,higher is better,Gate 78A derived,DDD535DF57BFC0F2E7B250F346ABBF89C6BECA7B4C5CB5CE53A57832DDD34BE7
closed_profit_factor,sum positive weekly closed PnL / absolute sum negative weekly closed PnL,"higher is better; weekly closed aggregation, not independent cycle PF",Gate 78 weekly equity truth,8F1B0A126656575A13D9049BC93835B527518620B819BA415897398D0FD4B76B
weekly_mtm_profit_factor,sum positive weekly MTM equity changes / absolute sum negative weekly MTM equity changes,higher is better,Gate 78 weekly equity truth; primary Gate 78A PF,1417DCD62C0694423BE744145952297D4EBE1EEA9609C4C6098AA10FE80917EC
worst_5_week_mtm_loss_adr,"sum of the five worst weekly MTM equity changes, not necessarily contiguous",negative is loss,Gate 78 adapter summary,42968675FC60CEA42B2A1CFE7C7A06F0BA703D3071EF26AACA5B7AFA55293A62
worst_13_week_mtm_loss_adr,"sum of the thirteen worst weekly MTM equity changes, not necessarily contiguous",negative is loss,Gate 78 adapter summary,EAA5501A3C9778069E8EC2D84B6E93507B00DD041977D5168B85DD37F4921258
worst_5_week_contiguous_mtm_loss_adr,worst contiguous 5-week sum of weekly MTM equity changes,negative is loss,Gate 78A derived from weekly equity truth,9B9FAEEEF727729F1680ADB03E6951B65E5C0063130F3B19C5338B35A0B9A5B8
worst_13_week_contiguous_mtm_loss_adr,worst contiguous 13-week sum of weekly MTM equity changes,negative is loss,Gate 78A derived from weekly equity truth,39DC882CD3C149B089A9AEE7FA388FFCC41E617D934ACC5AEB9CB64B2C9FA3A2
lifecycle_profit_factor,gross winning pair-week lifecycle result / absolute losing pair-week lifecycle result,higher is better,not emitted by Gate 78 artifacts; requires pair-week lifecycle replay instrumentation,A82CA7D5B1001993FFCAA0121A349327918AACB15BA67738B996EDA32C3A5084
adr_calmar,annualized MTM equity ADR / absolute max drawdown ADR,higher is better,Gate 78A derived; ADR-normalized diagnostic,A1EB0B29FAE56A763822CA63F2912BD4FE50F5F3E789144AFABA9B8ECDB19736
sharpe,mean weekly MTM equity change / sample stddev weekly MTM equity change * sqrt(52),higher is better,"Gate 78A derived; ADR-normalized diagnostic, not true investment Sharpe",60294037BEED5AB1FCE672EF36F57232D7D47537F08980EE4C1C68E0D6FBE3C5
sortino,mean weekly MTM equity change / sample stddev of negative weekly MTM equity changes * sqrt(52),higher is better,"Gate 78A derived; ADR-normalized diagnostic, not true investment Sortino",EF1AA4363AF18770E5B6A9321425745ECA03F6398EFCAB7AA518388466F6F4B3
weekly_win_rate,count of weeks with positive weekly MTM equity change / total weeks,higher is better,Gate 78 weekly equity truth,6C3C55B20103BD0C95FBA4969F9969D0C33A5CC279E18F059ED26DF0584914FA
monthly_win_rate,count of months with positive aggregate monthly MTM equity change / total months,higher is better,Gate 78A derived from weekly equity truth,535192241F768B40FAED7E7A6857141F83A29A0B235F5E170EB74ADEABC7FD80
account_week_expectancy,average weekly MTM equity change,positive is profitable,Gate 78 weekly equity truth,FC1838EBBDCF4F39287DBFBD226EC5D50CE315AFC799D604BE173D092DDE070C
pair_week_expectancy,"final MTM equity ADR / 10,444 Candidate B pair-week rows",positive is profitable,Gate 78A derived denominator proxy,6D9C302BEE6FB6FDF1C33EEAA8FD00F2D5008FA6C9748EF9980B491BD158B17E
reset_cycle_expectancy,closed ADR / target reset cycles,diagnostic only; reset cycles are path-dependent,Gate 78 adapter summary,2AA757CA4680BB3C805EA7144971027C925E27616F103A9D1AD65B0D2D68875E
fill_level_expectancy,closed ADR / fill count,diagnostic only; fills are not independent trades,Gate 78 adapter summary,F622FA2B398A024DF32922372E10089A82EEFCBA631ECD6D97690691D28B3C0D
mfe,maximum favorable excursion,positive favorable excursion,Gate 78 exposes max cycle MFE only; account-week and pair-week MFE require replay instrumentation,004C4EE5DA56BA754591344CFED9D3814E5083304059EA90886875F043539C10
mae,maximum adverse excursion,negative adverse excursion,Gate 78A reports worst weekly open-unrealized and drawdown proxies; intraperiod MAE requires replay instrumentation,8AAECEA5B98EC21E8F518E6CDF59A057A0725E4E764D7481657A0BCCF6F48449
mfe_capture_ratio,closed ADR / (closed ADR + total giveback ADR),higher is better; proxy only,Gate 78 adapter summary,54CD3A4EDD9359BAA7C0E22080442E09B2D51EF15D14818B0E71FA2DEB05D140
mae_recovery_ratio,recovered negative cycles / negative cycles,higher is better; proxy only,Gate 78 adapter summary,168AC619D7E7D3E7EC42F7D00D687BEBB84A042255D69C387D2E7AEDEA9A261A
top20_winner_retention,Gate 78 top-20 winner ADR divided by weekly forced top-20 winner ADR,higher retains more right tail,Gate 78 adapter summary,34CA55E76569AC657D9D4338F1D77E156B32E620661646CEC99F464A9437C8F0
right_tail_give_up,T150 top-20 winner ADR minus rule top-20 winner ADR,higher is more right-tail loss,Gate 78 right-tail retention artifact,113C8A45A2227276DA7AF22C89D3F927A4328AE26D8C9CB10E6B400F6AF01BBB
worst20_loser_concentration,absolute sum of 20 worst weekly MTM changes / absolute sum of all negative weekly MTM changes,higher is more concentrated loss,Gate 78A derived from weekly equity truth,5B1394BBBC68BC40237EE2ABC848EA0870A0FB67209E9639C25DE04091603A99
open_unrealized_adr,ending open unrealized ADR; weekly worst/average use week-end open unrealized values,negative is floating loss,Gate 78 adapter summary and weekly equity truth,B80239BB470E632498616923FB152509866BDC988438726C6426A7B0A1AC6A21
flip_loss_adr,sum of cycle losses closed by Candidate B flip or sample-end policy where reported by Gate 78,negative is loss,Gate 78 adapter summary,11ADDCFC4572F266FBCACACADF52F83DB2B34B668950592E8F388BAC88D07650
