variant_id,activation_rule_id,protection_mode,signal_settings_id,david_settings,stochastic_settings,symbol_universe,bar_path_mode,signal_clock,signal_adr_brick,session_mode,session_time_zone,session_trade_start_et,session_trade_end_et,session_flatten_et,session_sunday_start_et,session_flatten_overrides_et,target_mode,target_adr,spacing_adr,min_ma_expansion_adr,grid_add_mode,date_range,price_bundle_id,warehouse_manifest_id,warehouse_hash,weeks_replayed,pairs_replayed,initial_deposit_usd,final_balance_usd,final_equity_before_liquidation_usd,final_equity_after_liquidation_usd,net_profit_usd,closed_price_pnl_usd,end_liquidation_price_pnl_usd,total_price_pnl_usd,total_commission_usd,total_swap_usd,target_reset_count,session_flatten_count,session_flatten_positions,session_flatten_price_pnl_usd,session_flatten_swap_usd,protection_close_count,protection_close_positions,entries_opened,closed_positions,end_liquidation_positions,max_open_positions,max_long_positions,max_short_positions,max_add_depth,max_fill_age_days,position_days,max_equity_drawdown_usd,max_balance_drawdown_usd,weekly_equity_profit_factor,close_event_count,close_event_win_count,close_event_loss_count,close_event_flat_count,close_event_profit_factor,close_event_win_pct,close_event_total_realized_pnl_adr,adr_normalized_return_pct,close_event_gross_profit_usd,close_event_gross_loss_abs_usd,close_event_avg_realized_pnl_adr,close_event_avg_mfe_adr,close_event_avg_mae_adr_abs,close_event_mfe_1q_hit_count,close_event_mfe_2q_hit_count,close_event_mfe_3q_hit_count,close_event_mfe_1q_hit_pct,close_event_mfe_2q_hit_pct,close_event_mfe_3q_hit_pct,close_event_mae_1q_hit_count,close_event_mae_2q_hit_count,close_event_mae_3q_hit_count,close_event_mae_1q_hit_pct,close_event_mae_2q_hit_pct,close_event_mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,protection_close_net_usd,activation_checks,activation_blocked_long,activation_blocked_short,activation_blocked_expansion,activation_started_long,activation_started_short,activation_long_allow_pct,activation_short_allow_pct,mt5_reference_net_profit_usd,mt5_reference_commission_usd,mt5_reference_swap_usd,mt5_reference_end_liquidation_net_usd,mt5_reference_max_open_positions,mt5_reference_end_liquidation_positions,net_delta_vs_mt5_usd,summary_only,metric_semantics,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,triangle_v1_david_contra_extension,baseline,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,9926.34,9926.34,9926.34,-73.66,986.34,0,986.34,-934.02,-125.98,10946,1417,2931,-3952.62,-95.98,0,0,15567,15567,0,106,60,97,13,3.04,2914.4,-991.56,-427,0.955855,12363,7752,4611,0,0.984393,62.7,177.43224,177.43224,4645.73,4719.39,0.014352,0.084869,0.204106,1128,242,73,9.12,1.96,0.59,1874,1103,673,15.16,8.92,5.44,4150.8,-4224.46,0,11272254,5590268,5669623,12883,6239,6124,0.11,0.11,174.51,-400.8,-4144.01,-5590.01,170,149,-248.17,false,session_window_position_truth_replay,52C6551BE09FB5E1FD83FA930E98DAD6D164B09B9461615F83BBD865C3BDF2DD
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_LOCK_1Q_STOP_ADDS,triangle_v1_david_contra_extension,lock_1q_stop_adds,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,9862.14,9862.14,9862.14,-137.86,905.79,0,905.79,-919.02,-124.62,10815,1420,2888,-3967.87,-95.48,0,0,15317,15317,0,104,60,97,13,3.04,2888.24,-999.37,-438.2,0.917623,12235,7663,4572,0,0.970816,62.63,163.693927,163.693927,4585.82,4723.68,0.013379,0.085138,0.203629,1126,234,71,9.2,1.91,0.58,1865,1091,665,15.24,8.92,5.44,4098.78,-4236.64,0,11271449,5589753,5669461,12883,6174,6061,0.11,0.11,174.51,-400.8,-4144.01,-5590.01,170,149,-312.37,false,session_window_position_truth_replay,FB27D1A27BDCC3999ADAB684D2EE800A64F3ACEB2426B6A4E0D7BC69D91B7EED
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_1Q,triangle_v1_david_contra_extension,trail_1q_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,9803.86,9803.86,9803.86,-196.14,883.64,0,883.64,-956.16,-123.62,10957,1409,2855,-3908.25,-93.13,326,652,15936,15936,0,105,60,97,13,3,2848.06,-1040.07,-503.65,0.884739,12692,7960,4732,0,0.958098,62.72,159.396813,159.396813,4484.84,4680.98,0.012559,0.084827,0.20062,1204,192,56,9.49,1.51,0.44,1937,1111,668,15.26,8.75,5.26,3867.58,-4172.68,108.96,11274724,5591914,5670118,12892,6420,6272,0.11,0.11,174.51,-400.8,-4144.01,-5590.01,170,149,-370.65,false,session_window_position_truth_replay,617AEF66EA448A53E3902C0CB62EA46B129046FAC423AB889803076FC40FF861
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_0_5Q,triangle_v1_david_contra_extension,trail_1q_0_5q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,9832.52,9832.52,9832.52,-167.48,920.11,0,920.11,-963.48,-124.11,10924,1401,2862,-3995.16,-93.89,449,849,16058,16058,0,105,60,97,13,3,2848.37,-990.46,-465.64,0.900063,12774,8125,4649,0,0.964356,63.61,168.206919,168.206919,4531.15,4698.62,0.013168,0.083573,0.201449,1211,159,43,9.48,1.24,0.34,1965,1116,672,15.38,8.74,5.26,3642.38,-4260.77,450.91,11278124,5593313,5672037,12903,6466,6308,0.12,0.11,174.51,-400.8,-4144.01,-5590.01,170,149,-341.99,false,session_window_position_truth_replay,CA345F4E0F27842CC33EF3A114386FBB82362AC30E186CC6B34F0731A4F0D3C4
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q,triangle_v1_david_contra_extension,protected_flatten_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,9816.92,9816.92,9816.92,-183.08,871.31,0,871.31,-921.9,-132.49,10938,589,829,411.45,-27.99,627,1872,15365,15365,0,104,60,97,13,3.38,3045.71,-941.37,-409.87,0.89392,12154,7787,4367,0,0.962379,64.07,174.308661,174.308661,4683.27,4866.34,0.014342,0.086231,0.211928,1134,237,73,9.33,1.95,0.6,1959,1137,701,16.12,9.35,5.77,4159.27,333.72,-4676.07,11199236,5549017,5638065,12619,6123,6031,0.11,0.11,174.51,-400.8,-4144.01,-5590.01,170,149,-357.59,false,session_window_position_truth_replay,929EA8F8B8691BE9A65B5C469928B70626F93210B57B2BA9C0D4CFE2F1AC2B4B
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q,triangle_v1_david_contra_extension,protected_flatten_1q_trail_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,9752.23,9752.23,9752.23,-247.77,842.99,0,842.99,-958.62,-132.15,11080,584,802,393.02,-27.76,928,2496,15977,15977,0,105,60,97,13,4.24,3019.18,-983.41,-488.26,0.858769,12592,8081,4511,0,0.948804,64.18,170.529212,170.529212,4591.91,4839.68,0.013543,0.086047,0.20926,1211,196,58,9.62,1.56,0.46,2035,1160,709,16.16,9.21,5.63,3934.87,317.14,-4499.79,11200603,5550278,5637733,12598,6362,6230,0.11,0.11,174.51,-400.8,-4144.01,-5590.01,170,149,-422.28,false,session_window_position_truth_replay,67CFE1B7F97B5F775CA5DA247DD6E06D840A53A9DABDB3D19592EDAA7390EEE0
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,baseline,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,10930.13,10930.13,10930.13,930.13,2671.38,0,2671.38,-1399.26,-341.99,10798,2459,7021,-11083.41,-237.43,0,0,23321,23321,0,131,69,119,21,3.08,7604.95,-1132.23,-1013.13,1.301683,13257,11110,2147,0,1.074854,83.8,392.371928,392.371928,13356.09,12425.97,0.029597,0.201379,0.466685,3979,1411,532,30.01,10.64,4.01,4693,3255,2398,35.4,24.55,18.09,12672.23,-11742.1,0,9436493,4582306,4840930,3236527,7065,6192,0.15,0.13,174.51,-400.8,-4144.01,-5590.01,170,149,755.62,false,session_window_position_truth_replay,75FF1804A987BFF1F44FB773512001D3C699F4F7B8E79C40FC654B701E525FD0
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_LOCK_1Q_STOP_ADDS,david_contra,lock_1q_stop_adds,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,10743.36,10743.36,10743.36,743.36,2407.29,0,2407.29,-1338.96,-324.97,10667,2497,6628,-10887.6,-224.27,0,0,22316,22316,0,101,61,93,21,3.08,7239.79,-1058.36,-942.13,1.266807,13164,10937,2227,0,1.061162,83.08,346.799001,346.799001,12897.27,12153.91,0.026345,0.198637,0.448361,3948,1339,487,29.99,10.17,3.7,4657,3209,2350,35.38,24.38,17.85,12252.91,-11509.55,0,9423999,4576609,4834226,3224126,7018,6146,0.15,0.13,174.51,-400.8,-4144.01,-5590.01,170,149,568.85,false,session_window_position_truth_replay,DFCE80E082EA67070AA32D039C284377B538601FDB884742D3705BC32807F5F5
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_TRAIL_1Q_1Q,david_contra,trail_1q_1q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,10740.86,10740.86,10740.86,740.86,2594.52,0,2594.52,-1534.56,-319.1,10809,2443,6600,-10314.8,-212.17,1799,4052,25576,25576,0,112,59,105,21,3.08,7133.15,-1099.21,-1045.66,1.272801,15051,12226,2825,0,1.062614,81.23,372.280519,372.280519,12573.14,11832.28,0.024735,0.188128,0.417036,4681,1143,336,31.1,7.59,2.23,5252,3371,2432,34.89,22.4,16.16,11173.93,-10922.97,489.9,9442542,4585134,4842357,3240782,8059,6992,0.18,0.14,174.51,-400.8,-4144.01,-5590.01,170,149,566.35,false,session_window_position_truth_replay,C941A3974A69C4F22E4114169279A94E33DD1FA87F25D86C370CCE672E65E26E
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_TRAIL_1Q_0_5Q,david_contra,trail_1q_0_5q,DAVID_LWMA50_RSI50_60_40__STOCH_100_3_100_60_40_low_high_simple_main_only,LWMA50_RSI50_60_40,100_3_100_60_40_low_high_simple_main_only,"AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY",open,adr_event,0.075,ny_daily_window,America/New_York,18:05,15:45,16:00,20:00,,david_ma_reversion,1,0.2,0.1,adverse_only,2019-04-14T23:00:00.000Z..2019-12-30T00:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,38,28,10000,10729.96,10729.96,10729.96,729.96,2624.08,0,2624.08,-1571.64,-322.48,10640,2440,6664,-10683.19,-216.19,2371,5083,26194,26194,0,114,59,108,21,3.08,7186.93,-1111.58,-1042.38,1.258694,15451,13163,2288,0,1.060938,85.19,380.373097,380.373097,12708.79,11978.82,0.024618,0.179685,0.415328,4763,887,241,30.83,5.74,1.56,5355,3433,2482,34.66,22.22,16.06,10175.11,-11299.21,1854.06,9446481,4586971,4844059,3244321,8269,7182,0.18,0.15,174.51,-400.8,-4144.01,-5590.01,170,149,555.45,false,session_window_position_truth_replay,CA0765A2CA6D1E15854F9E9A84D65D071479209F31DD8856B37613512BDCE87A
