row_key,question_scope,week_open_utc,pair,candidate_b_side,box_model,session_id,session_label,start_mode_id,start_status,start_side,start_timestamp_utc,trigger_basis,valid_geometry_basis,geometry_regime_m1,geometry_regime_adr_event,geometry_harvestable_candidate_m1,geometry_harvestable_candidate_adr_event,session_range_adr,pe_m1_1_session,pe_adr_event_1_session,entry_range_adr,adaptive_spacing_adr,required_extension_adr,session_mid_price,start_price,start_distance_from_mid_adr,start_delay_minutes_from_entry_start,relaxed_sweep_rejection_candidates,strict_sweep_rejection_displacement_candidates,candidate_b_alignment,david_alignment,david_state_at_start,david_raw_state_at_start,david_ma_at_start,david_rsi_at_start,sweep_timestamp_utc,rejection_timestamp_utc,displacement_timestamp_utc,sweep_depth_adr,displacement_body_adr,eod_flatten_timestamp_utc,eod_mfe_adr,eod_mae_adr,eod_mfe_quantum_units,eod_mfe_timestamp_utc,eod_mae_timestamp_utc,eod_close_pnl_adr,eod_hit_1q,eod_hit_2q,eod_hit_3q,next_day_flatten_timestamp_utc,next_day_mfe_adr,next_day_mae_adr,next_day_mfe_quantum_units,next_day_close_pnl_adr,next_day_hit_1q,next_day_hit_2q,next_day_hit_3q,full_available_mfe_adr,full_available_mae_adr,full_available_mfe_quantum_units,hold_until_profit_first_positive_timestamp_utc,hold_until_profit_first_1q_timestamp_utc,hold_until_profit_first_2q_timestamp_utc,hold_until_profit_first_3q_timestamp_utc,content_hash
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|ny|2022-01-11|strict_sweep_rejection_displacement,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,ny|2022-01-11,NY,strict_sweep_rejection_displacement,blocked_no_start,,,strict_katarakti,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,0.64588,0.008019,0.067449,0.310851,0.215293,0.215293,0.90838,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8A1164054186AAFA76EF0718D67F95713C3DF32168073C5AFC90F1290FEEBAD6
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|ny|2022-01-11|relaxed_sweep_rejection,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,ny|2022-01-11,NY,relaxed_sweep_rejection,found,LONG,2022-01-11T15:52:00.000Z,sweep_rejection,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,0.64588,0.008019,0.067449,0.310851,0.215293,0.215293,0.90838,0.90654,,172,1,0,1,,,,,,2022-01-11T15:51:00.000Z,2022-01-11T15:52:00.000Z,,0.126068,,2022-01-11T21:00:00.000Z,0.155426,0.131248,0.721928,2022-01-11T19:49:00.000Z,2022-01-11T18:07:00.000Z,0.055263,false,false,false,2022-01-12T21:00:00.000Z,0.894563,0.483547,4.155096,0.85657,true,true,true,1.094889,0.483547,5.085576,2022-01-11T15:53:00.000Z,2022-01-12T14:08:00.000Z,2022-01-12T14:49:00.000Z,2022-01-12T15:21:00.000Z,00F7D313D375ED0E7F61AA00DFF2B29B52988061902C6E793097F4C7FFDE1E78
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|ny|2022-01-11|first_mean_extension_touch,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,ny|2022-01-11,NY,first_mean_extension_touch,found,LONG,2022-01-11T13:00:00.000Z,session_mid_extension,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,0.64588,0.008019,0.067449,0.310851,0.215293,0.215293,0.90838,0.90652,0.324667,0,1,0,1,,,,,,,,,,,2022-01-11T21:00:00.000Z,0.15888,0.151971,0.737971,2022-01-11T19:49:00.000Z,2022-01-11T13:46:00.000Z,0.058717,false,false,false,2022-01-12T21:00:00.000Z,0.898017,0.480093,4.171139,0.860024,true,true,true,1.098343,0.480093,5.10162,2022-01-11T13:01:00.000Z,2022-01-12T14:07:00.000Z,2022-01-12T14:49:00.000Z,2022-01-12T15:20:00.000Z,0B06433371407A12C45FEE21AE1762B44DADE5F4EF5F9C199CAF261A5BE64F46
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|ny|2022-01-11|candidate_b_geometry_start,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,ny|2022-01-11,NY,candidate_b_geometry_start,found,LONG,2022-01-11T13:00:00.000Z,candidate_b_session_mid_extension,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,0.64588,0.008019,0.067449,0.310851,0.215293,0.215293,0.90838,0.90652,0.324667,0,1,0,1,,,,,,,,,,,2022-01-11T21:00:00.000Z,0.15888,0.151971,0.737971,2022-01-11T19:49:00.000Z,2022-01-11T13:46:00.000Z,0.058717,false,false,false,2022-01-12T21:00:00.000Z,0.898017,0.480093,4.171139,0.860024,true,true,true,1.098343,0.480093,5.10162,2022-01-11T13:01:00.000Z,2022-01-12T14:07:00.000Z,2022-01-12T14:49:00.000Z,2022-01-12T15:20:00.000Z,6FE6215957A6AA733CD84C9B6C5074967C92184B0D6F6E2A22E437C92909979B
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|ny|2022-01-11|david_contra_geometry_start,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,ny|2022-01-11,NY,david_contra_geometry_start,blocked_no_david_side,,,david_contra_session_mid_extension,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,0.64588,0.008019,0.067449,0.310851,0.215293,0.215293,0.90838,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6469D90523413B153B39C28C9583DE9D4A0D8E62682620E19892D6D42D643853
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|asia_london|2022-01-13|strict_sweep_rejection_displacement,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,asia_london|2022-01-13,ASIA_LONDON,strict_sweep_rejection_displacement,blocked_no_start,,,strict_katarakti,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,1.295216,0.001874,0.089022,0.512905,0.3,0.3,0.90797,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10F50AE5714732C65D0F82CA19442DC82C6C871BABC48E0D91131CD814BE00DD
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|asia_london|2022-01-13|relaxed_sweep_rejection,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,asia_london|2022-01-13,ASIA_LONDON,relaxed_sweep_rejection,blocked_no_start,,,sweep_rejection,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,1.295216,0.001874,0.089022,0.512905,0.3,0.3,0.90797,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B38C7D9AF9FC5F2C503DAF3AFD6337A236B88F7E794EF190D9958B2D0C6A1E6F
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|asia_london|2022-01-13|first_mean_extension_touch,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,asia_london|2022-01-13,ASIA_LONDON,first_mean_extension_touch,found,SHORT,2022-01-13T00:00:00.000Z,session_mid_extension,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,1.295216,0.001874,0.089022,0.512905,0.3,0.3,0.90797,0.91046,0.440373,0,0,0,-1,-1,DOWN,UP,0.908217,54.37236,,,,,,2022-01-13T21:00:00.000Z,0.094982,0.417923,0.316607,2022-01-13T02:08:00.000Z,2022-01-13T10:25:00.000Z,-0.058717,false,false,false,2022-01-14T21:00:00.000Z,0.80476,0.417923,2.682533,0.573348,true,true,false,0.80476,0.417923,2.682533,2022-01-13T00:01:00.000Z,2022-01-14T08:53:00.000Z,2022-01-14T11:59:00.000Z,,14F841E277E4B5498210AE112A378B59AA3D0DC0BFB8C62A3D42B97413C1A8D4
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|asia_london|2022-01-13|candidate_b_geometry_start,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,asia_london|2022-01-13,ASIA_LONDON,candidate_b_geometry_start,blocked_no_start,,,candidate_b_session_mid_extension,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,1.295216,0.001874,0.089022,0.512905,0.3,0.3,0.90797,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76F46D2445375F0449D8CEC2A576951EA53E3B6D1E62FB1F854C86A47DCE16D8
2022-01-10T00:00:00.000Z|AUDCAD|archived_utc|asia_london|2022-01-13|david_contra_geometry_start,start_mode_inside_valid_geometry,2022-01-10T00:00:00.000Z,AUDCAD,LONG,archived_utc,asia_london|2022-01-13,ASIA_LONDON,david_contra_geometry_start,blocked_no_start,,,david_contra_session_mid_extension,adr_event_harvestable_chop_candidate,harvestable_chop_candidate,harvestable_chop_candidate,true,true,1.295216,0.001874,0.089022,0.512905,0.3,0.3,0.90797,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3DFE0A004B3B632EF47D426FC666B4995044B5C70496BBCE28F0D7F2CC038AB7
